County,County Value,National Z-Score,
Travis,9.6,0.96,
Trinity,8.5,0.41,
Tyler,8.4,0.36,
Upshur,8.9,0.61,
Upton,6.8,-0.44,
Uvalde,7.9,0.11,
Val Verde,7.5,-0.09,
Van Zandt,8.3,0.31,
Victoria,9,0.66,
Walker,8.7,0.51,
Waller,9.7,1.01,
Ward,6.9,-0.39,
Washington,8.6,0.46,
Webb,10.2,1.26,
Wharton,9.2,0.76,
Wheeler,6.6,-0.54,
Wichita,8.1,0.21,
Wilbarger,7,-0.34,
Willacy,11.2,1.76,
Williamson,9.5,0.91,
Wilson,8.6,0.46,
Winkler,6.9,-0.39,
Wise,8.7,0.51,
Wood,8.6,0.46,
Yoakum,5.9,-0.89,
Young,7.3,-0.19,
Zapata,,0.07,
Zavala,8.2,0.26,
