County,Diabetes,Obesity,PM2.5,Median_Income,Uninsured,z_obesity,z_uninsured,z_income_protective,z_income_risk,Risk_Score,Risk_Rank,Risk_Percentile
Milam,12.0,38.0,8.5,63500.0,23,-0.4111341534214795,-0.05187962489877881,0.002306674801847128,-0.002306674801847128,-0.46532045312210546,164.0,35.826771653543304
Mills,11.0,35.0,7.3,56300.0,24,-1.343527679930908,0.1419060328113659,-0.48821040399099247,0.48821040399099247,-0.7134112431285495,175.0,31.496062992125985
Mitchell,15.0,41.0,6.5,53300.0,20,0.5212593730879489,-0.633236598029213,-0.6925925201546757,0.6925925201546757,0.5806152952134116,106.0,58.661417322834644
Montague,11.0,37.0,8.5,60300.0,25,-0.721931995591289,0.3356916905215106,-0.21570091577274825,0.21570091577274825,-0.1705393892970301,147.0,42.51968503937008
Montgomery,11.0,35.0,10.3,92600.0,19,-1.343527679930908,-0.8270222557393576,1.9848132015895739,-1.9848132015895739,-4.155363137259839,240.0,5.905511811023622
Moore,16.0,39.0,6.0,64000.0,31,-0.10033631125167004,1.4984056367823788,0.03637036082912766,-0.03637036082912766,1.3616989647015811,63.0,75.59055118110236
Morris,13.0,41.0,8.8,51600.0,20,0.5212593730879489,-0.633236598029213,-0.8084090526474295,0.8084090526474295,0.6964318277061654,100.0,61.023622047244096
Motley,11.0,37.0,5.8,49000.0,19,-0.721931995591289,-0.8270222557393576,-0.9855402199892882,0.9855402199892882,-0.5634140313413585,167.0,34.645669291338585
Nacogdoches,13.0,41.0,8.8,52500.0,23,0.5212593730879489,-0.05187962489877881,-0.7470944177983245,0.7470944177983245,1.2164741659874947,74.0,71.25984251968504
Navarro,14.0,42.0,8.5,59700.0,23,0.8320572152577583,-0.05187962489877881,-0.2565773390054849,0.2565773390054849,1.0367549293644645,80.0,68.89763779527559
Newton,14.0,42.0,8.7,51300.0,24,0.8320572152577583,0.1419060328113659,-0.8288472642637977,0.8288472642637977,1.8028105123329219,50.0,80.70866141732283
Nolan,14.0,42.0,6.6,53400.0,22,0.8320572152577583,-0.2456652826089235,-0.6857797829492196,0.6857797829492196,1.2721717155980543,72.0,72.04724409448819
Nueces,16.0,44.0,9.6,63700.0,24,1.4536528995973774,0.1419060328113659,0.01593214921275934,-0.01593214921275934,1.579626783195984,56.0,78.34645669291339
Ochiltree,14.0,39.0,6.5,71800.0,32,-0.10033631125167004,1.6921912944925235,0.5677638628547039,-0.5677638628547039,1.0240911203861496,84.0,67.32283464566929
Oldham,12.0,37.0,5.3,68600.0,17,-0.721931995591289,-1.214593571159647,0.3497562722801085,-0.3497562722801085,-2.2862818390310444,221.0,13.385826771653544
Orange,12.0,42.0,8.7,66000.0,17,0.8320572152577583,-1.214593571159647,0.17262510493824978,-0.17262510493824978,-0.5551614608401384,165.0,35.43307086614173
Palo Pinto,12.0,37.0,7.8,55400.0,24,-0.721931995591289,0.1419060328113659,-0.5495250388400974,0.5495250388400974,-0.03050092393982562,140.0,45.2755905511811
Panola,12.0,38.0,9.0,63500.0,21,-0.4111341534214795,-0.43945094031906823,0.002306674801847128,-0.002306674801847128,-0.8528917685423948,180.0,29.527559055118108
Parker,10.0,37.0,8.5,98100.0,18,-0.721931995591289,-1.0208079134495023,2.3595137478896597,-2.3595137478896597,-4.102253656930451,239.0,6.299212598425196
Parmer,15.0,40.0,5.9,62900.0,29,0.21046153091813943,1.1108343213620895,-0.038569748430889506,0.038569748430889506,1.3598656007111185,64.0,75.19685039370079
Pecos,16.0,42.0,6.3,58300.0,27,0.8320572152577583,0.7232630059418,-0.3519556598818704,0.3519556598818704,1.9072758810814285,46.0,82.28346456692913
Polk,14.0,40.0,8.7,57000.0,22,0.21046153091813943,-0.2456652826089235,-0.44052124355279976,0.44052124355279976,0.4053174918620157,116.0,54.7244094488189
Potter,15.0,39.0,5.4,51200.0,29,-0.10033631125167004,1.1108343213620895,-0.8356600014692539,0.8356600014692539,1.8461580115796734,49.0,81.10236220472441
Presidio,20.0,44.0,5.4,42700.0,41,1.4536528995973774,3.436262213883826,-1.414742663933023,1.414742663933023,6.304657777414226,3.0,99.21259842519686
Rains,11.0,38.0,8.1,63800.0,25,-0.4111341534214795,0.3356916905215106,0.022744886418215447,-0.022744886418215447,-0.09818734931818437,143.0,44.09448818897638
Randall,10.0,34.0,6.1,81700.0,15,-1.6543255221007174,-1.6021648865799365,1.2422248461948584,-1.2422248461948584,-4.4987152548755125,243.0,4.724409448818897
Reagan,14.0,39.0,6.6,72600.0,24,-0.10033631125167004,0.1419060328113659,0.6222657604983528,-0.6222657604983528,-0.580696038938657,170.0,33.46456692913386
Real,14.0,41.0,6.9,49000.0,24,0.5212593730879489,0.1419060328113659,-0.9855402199892882,0.9855402199892882,1.648705625888603,53.0,79.52755905511812
Red River,13.0,40.0,8.8,49300.0,21,0.21046153091813943,-0.43945094031906823,-0.9651020083729199,0.9651020083729199,0.7361125989719911,99.0,61.417322834645674
Reeves,18.0,43.0,6.8,57200.0,26,1.1428550574275678,0.5294773482316553,-0.42689576914188754,0.42689576914188754,2.0992281748011106,39.0,85.03937007874016
Refugio,15.0,41.0,8.9,52600.0,21,0.5212593730879489,-0.43945094031906823,-0.7402816805928684,0.7402816805928684,0.8220901133617491,94.0,63.38582677165354
Roberts,11.0,36.0,6.2,76600.0,15,-1.0327298377610985,-1.6021648865799365,0.894775248716597,-0.894775248716597,-3.529669973057632,231.0,9.448818897637794
Robertson,12.0,38.0,8.5,60100.0,20,-0.4111341534214795,-0.633236598029213,-0.22932639018366047,0.22932639018366047,-0.8150443612670322,177.0,30.708661417322837
Rockwall,10.0,35.0,8.8,118200.0,12,-1.343527679930908,-2.1835218597103707,3.728873926186337,-3.728873926186337,-7.255923465827616,249.0,2.3622047244094486
Runnels,13.0,38.0,6.9,61600.0,23,-0.4111341534214795,-0.05187962489877881,-0.12713533210181888,0.12713533210181888,-0.33587844621843943,152.0,40.55118110236221
Rusk,12.0,40.0,9.0,65800.0,22,0.21046153091813943,-0.2456652826089235,0.15899963052733757,-0.15899963052733757,-0.19420338221812164,149.0,41.732283464566926
Sabine,12.0,39.0,8.2,58700.0,22,-0.10033631125167004,-0.2456652826089235,-0.32470471106004595,0.32470471106004595,-0.02129688280054759,139.0,45.66929133858268
San Augustine,15.0,43.0,8.3,50900.0,23,1.1428550574275678,-0.05187962489877881,-0.8560982130856222,0.8560982130856222,1.9470736456144113,44.0,83.07086614173228
San Jacinto,13.0,38.0,,66000.0,24,-0.4111341534214795,0.1419060328113659,0.17262510493824978,-0.17262510493824978,-0.44185322554836337,162.0,36.61417322834646
San Patricio,15.0,43.0,9.7,61400.0,23,1.1428550574275678,-0.05187962489877881,-0.1407608065127311,0.1407608065127311,1.23173623904152,73.0,71.65354330708661
San Saba,13.0,39.0,7.2,52300.0,32,-0.10033631125167004,1.6921912944925235,-0.7607198922092367,0.7607198922092367,2.3525748754500904,32.0,87.79527559055119
Schleicher,14.0,40.0,6.7,60100.0,26,0.21046153091813943,0.5294773482316553,-0.22932639018366047,0.22932639018366047,0.9692652693334551,86.0,66.53543307086615
Scurry,14.0,39.0,6.5,69900.0,24,-0.10033631125167004,0.1419060328113659,0.4383218559510379,-0.4383218559510379,-0.39675213439134205,159.0,37.79527559055118
Shackelford,11.0,38.0,6.8,68700.0,23,-0.4111341534214795,-0.05187962489877881,0.35656900948556464,-0.35656900948556464,-0.8195827878058229,178.0,30.314960629921263
Shelby,14.0,41.0,8.8,54400.0,28,0.5212593730879489,0.9170486636519447,-0.6176524108946585,0.6176524108946585,2.055960447634552,40.0,84.64566929133859
Sherman,13.0,38.0,6.0,66200.0,31,-0.4111341534214795,1.4984056367823788,0.18625057934916198,-0.18625057934916198,0.9010209040117372,90.0,64.96062992125984
Smith,12.0,40.0,8.7,71300.0,22,0.21046153091813943,-0.2456652826089235,0.5337001768274234,-0.5337001768274234,-0.5689039285182075,169.0,33.85826771653544
Somervell,10.0,33.0,7.9,78900.0,19,-1.9651233642705268,-0.8270222557393576,1.0514682044420873,-1.0514682044420873,-3.843613824451972,234.0,8.267716535433072
Starr,21.0,48.0,9.7,38800.0,33,2.696844268276615,1.8859769522026684,-1.680439414945811,1.680439414945811,6.263260635425095,4.0,98.81889763779527
Stephens,13.0,39.0,7.0,59100.0,25,-0.10033631125167004,0.3356916905215106,-0.2974537622382215,0.2974537622382215,0.532809141508062,107.0,58.26771653543307
Sterling,11.0,37.0,6.5,80900.0,16,-0.721931995591289,-1.4083792288697918,1.1877229485512095,-1.1877229485512095,-3.31803417301229,230.0,9.84251968503937
Stonewall,12.0,39.0,6.3,56400.0,18,-0.10033631125167004,-1.0208079134495023,-0.48139766678553636,0.48139766678553636,-0.6397465579156358,172.0,32.677165354330704
Sutton,16.0,42.0,6.7,63900.0,24,0.8320572152577583,0.1419060328113659,0.02955762362367155,-0.02955762362367155,0.9444056244454527,88.0,65.74803149606299
Swisher,16.0,43.0,6.3,52400.0,33,1.1428550574275678,1.8859769522026684,-0.7539071550037806,0.7539071550037806,3.782739164634017,13.0,95.2755905511811
Tarrant,12.0,38.0,9.7,80100.0,21,-0.4111341534214795,-0.43945094031906823,1.1332210509075606,-1.1332210509075606,-1.9838061446481083,216.0,15.354330708661418
Taylor,12.0,37.0,7.1,62100.0,22,-0.721931995591289,-0.2456652826089235,-0.09307164607453836,0.09307164607453836,-0.8745256321256741,181.0,29.133858267716533
Terrell,12.0,36.0,6.4,47900.0,21,-1.0327298377610985,-0.43945094031906823,-1.0604803292493055,1.0604803292493055,-0.4117004488308613,160.0,37.40157480314961
Terry,16.0,43.0,5.9,44400.0,29,1.1428550574275678,1.1108343213620895,-1.2989261314402691,1.2989261314402691,3.552615510229926,17.0,93.7007874015748
Throckmorton,12.0,38.0,6.8,51500.0,22,-0.4111341534214795,-0.2456652826089235,-0.8152217898528856,0.8152217898528856,0.1584223538224826,131.0,48.818897637795274
Titus,14.0,40.0,8.8,57600.0,28,0.21046153091813943,0.9170486636519447,-0.3996448203200631,0.3996448203200631,1.5271550148901472,57.0,77.95275590551181
Tom Green,13.0,38.0,6.9,60400.0,20,-0.4111341534214795,-0.633236598029213,-0.20888817856729217,0.20888817856729217,-0.8354825728834004,179.0,29.92125984251969
Travis,12.0,29.0,9.6,97500.0,14,-3.208314732949765,-1.7959505442900812,2.318637324656923,-2.318637324656923,-7.32290260189677,250.0,1.968503937007874
Trinity,12.0,39.0,8.5,49300.0,20,-0.10033631125167004,-0.633236598029213,-0.9651020083729199,0.9651020083729199,0.2315290990920369,122.0,52.362204724409445
Tyler,13.0,40.0,8.4,54400.0,23,0.21046153091813943,-0.05187962489877881,-0.6176524108946585,0.6176524108946585,0.7762343169140191,96.0,62.59842519685039
Upshur,13.0,41.0,8.9,61500.0,21,0.5212593730879489,-0.43945094031906823,-0.133948069307275,0.133948069307275,0.21575650207615565,124.0,51.574803149606296
Upton,16.0,42.0,6.8,59000.0,23,0.8320572152577583,-0.05187962489877881,-0.3042664994436776,0.3042664994436776,1.084444089802657,77.0,70.07874015748031
Uvalde,16.0,42.0,7.9,49000.0,28,0.8320572152577583,0.9170486636519447,-0.9855402199892882,0.9855402199892882,2.734646098898991,23.0,91.33858267716536
Val Verde,17.0,42.0,7.5,56600.0,27,0.8320572152577583,0.7232630059418,-0.4677721923746242,0.4677721923746242,2.0230924135741826,41.0,84.25196850393701
Van Zandt,11.0,36.0,8.3,66400.0,22,-1.0327298377610985,-0.2456652826089235,0.1998760537600742,-0.1998760537600742,-1.4782711741300962,201.0,21.25984251968504
Victoria,14.0,39.0,9.0,69400.0,23,-0.10033631125167004,-0.05187962489877881,0.40425816992375735,-0.40425816992375735,-0.5564741060742062,166.0,35.039370078740156
Walker,14.0,42.0,8.7,56900.0,21,0.8320572152577583,-0.43945094031906823,-0.44733398075825587,0.44733398075825587,0.839940255696946,93.0,63.77952755905512
Waller,13.0,42.0,9.7,77200.0,22,0.8320572152577583,-0.2456652826089235,0.9356516719493336,-0.9356516719493336,-0.3492597393004988,156.0,38.976377952755904
Ward,15.0,41.0,6.9,65600.0,28,0.5212593730879489,0.9170486636519447,0.14537415611642535,-0.14537415611642535,1.292933880623468,70.0,72.83464566929135
Washington,12.0,37.0,8.6,67900.0,18,-0.721931995591289,-1.0208079134495023,0.30206711184191576,-0.30206711184191576,-2.044807020882707,218.0,14.566929133858267
Webb,16.0,42.0,10.2,57900.0,36,0.8320572152577583,2.4673339253331026,-0.3792066087036948,0.3792066087036948,3.6785977492945556,16.0,94.09448818897637
Wharton,14.0,41.0,9.2,60500.0,25,0.5212593730879489,0.3356916905215106,-0.20207544136183606,0.20207544136183606,1.0590265049712955,79.0,69.29133858267717
Wheeler,13.0,40.0,6.6,54700.0,30,0.21046153091813943,1.3046199790722341,-0.5972141992782902,0.5972141992782902,2.112295709268664,38.0,85.43307086614173
Wichita,13.0,39.0,8.1,61600.0,21,-0.10033631125167004,-0.43945094031906823,-0.12713533210181888,0.12713533210181888,-0.4126519194689194,161.0,37.00787401574803
Wilbarger,15.0,41.0,7.0,53400.0,24,0.5212593730879489,0.1419060328113659,-0.6857797829492196,0.6857797829492196,1.3489451888485344,66.0,74.40944881889764
Willacy,20.0,49.0,11.2,42300.0,28,3.0076421104464246,0.9170486636519447,-1.4419936127548474,1.4419936127548474,5.366684386853217,6.0,98.03149606299213
Williamson,10.0,30.0,9.5,111200.0,12,-2.897516890779955,-2.1835218597103707,3.2519823218044097,-3.2519823218044097,-8.333021072294734,253.0,0.7874015748031495
Wilson,13.0,42.0,8.6,85300.0,17,0.8320572152577583,-1.214593571159647,1.4874833855912781,-1.4874833855912781,-1.8700197414931667,211.0,17.322834645669293
Winkler,14.0,40.0,6.9,67900.0,23,0.21046153091813943,-0.05187962489877881,0.30206711184191576,-0.30206711184191576,-0.14348520582255514,146.0,42.91338582677165
Wise,11.0,40.0,8.7,89900.0,21,0.21046153091813943,-0.43945094031906823,1.800869297042259,-1.800869297042259,-2.029858706443188,217.0,14.960629921259844
Wood,11.0,36.0,8.6,58800.0,22,-1.0327298377610985,-0.2456652826089235,-0.31789197385458984,0.31789197385458984,-0.9605031465154323,184.0,27.95275590551181
Yoakum,16.0,41.0,5.9,64600.0,31,0.5212593730879489,1.4984056367823788,0.07724678406186429,-0.07724678406186429,1.9424182258084632,45.0,82.67716535433071
Young,12.0,39.0,7.3,64200.0,25,-0.10033631125167004,0.3356916905215106,0.04999583524003987,-0.04999583524003987,0.1853595440298007,129.0,49.60629921259843
Zapata,22.0,46.0,,41700.0,32,2.0752485839369963,1.6921912944925235,-1.482870035987584,1.482870035987584,5.2503099144171035,7.0,97.63779527559055
Zavala,20.0,48.0,8.2,36900.0,22,2.696844268276615,-0.2456652826089235,-1.809881421849477,1.809881421849477,4.261060407517169,10.0,96.45669291338582
