County,Diabetes,Obesity,PM2.5,Median_Income,Uninsured,z_obesity,z_uninsured,z_income_protective,z_income_risk,Risk_Score,Risk_Rank,Risk_Percentile
Brooks,19.0,45.0,9.3,36700.0,23,1.7644507417671869,-0.05187962489877881,-1.8235068962603893,1.8235068962603893,3.5360780131287974,18.0,93.30708661417323
Brown,12.0,38.0,7.3,57700.0,21,-0.4111341534214795,-0.43945094031906823,-0.392832083114607,0.392832083114607,-0.4577530106259407,163.0,36.22047244094488
Burleson,12.0,38.0,8.6,63800.0,24,-0.4111341534214795,0.1419060328113659,0.022744886418215447,-0.022744886418215447,-0.291973007028329,151.0,40.94488188976378
Burnet,11.0,42.0,8.0,77800.0,22,0.8320572152577583,-0.2456652826089235,0.9765280951820703,-0.9765280951820703,-0.39013616253323546,157.0,38.582677165354326
Caldwell,15.0,39.0,8.9,63400.0,27,-0.10033631125167004,0.7232630059418,-0.004506062403608978,0.004506062403608978,0.6274327570937389,103.0,59.84251968503938
Calhoun,13.0,37.0,9.2,68900.0,20,-0.721931995591289,-0.633236598029213,0.37019448389647686,-0.37019448389647686,-1.7253630775169788,208.0,18.503937007874015
Callahan,11.0,36.0,7.0,63400.0,21,-1.0327298377610985,-0.43945094031906823,-0.004506062403608978,0.004506062403608978,-1.4676747156765577,199.0,22.04724409448819
Cameron,20.0,48.0,12.6,51700.0,33,2.696844268276615,1.8859769522026684,-0.8015963154419734,0.8015963154419734,5.384417535921257,5.0,98.4251968503937
Camp,14.0,40.0,8.7,53800.0,24,0.21046153091813943,0.1419060328113659,-0.6585288341273952,0.6585288341273952,1.0108963978569006,85.0,66.92913385826772
Carson,10.0,34.0,6.0,73700.0,17,-1.6543255221007174,-1.214593571159647,0.69720586975837,-0.69720586975837,-3.5661249630187344,232.0,9.05511811023622
Cass,12.0,39.0,9.1,52100.0,20,-0.10033631125167004,-0.633236598029213,-0.774345366620149,0.774345366620149,0.04077245733926593,138.0,46.06299212598425
Castro,15.0,40.0,6.1,55100.0,31,0.21046153091813943,1.4984056367823788,-0.5699632504564658,0.5699632504564658,2.278830418156984,34.0,87.00787401574803
Chambers,12.0,39.0,9.7,103000.0,16,-0.10033631125167004,-1.4083792288697918,2.693337870957009,-2.693337870957009,-4.20205341107847,242.0,5.118110236220472
Cherokee,14.0,39.0,8.6,57700.0,24,-0.10033631125167004,0.1419060328113659,-0.392832083114607,0.392832083114607,0.43440180467430284,115.0,55.118110236220474
Childress,14.0,41.0,6.4,53900.0,22,0.5212593730879489,-0.2456652826089235,-0.651716096921939,0.651716096921939,0.9273101874009644,89.0,65.35433070866141
Clay,10.0,35.0,8.0,73600.0,18,-1.343527679930908,-1.0208079134495023,0.6903931325529138,-0.6903931325529138,-3.054728725933324,228.0,10.62992125984252
Cochran,18.0,44.0,5.6,46400.0,30,1.4536528995973774,1.3046199790722341,-1.162671387331147,1.162671387331147,3.9209442660007587,12.0,95.66929133858267
Coke,13.0,40.0,6.6,56800.0,21,0.21046153091813943,-0.43945094031906823,-0.454146717963712,0.454146717963712,0.22515730856278318,123.0,51.96850393700787
Coleman,12.0,38.0,6.9,49000.0,26,-0.4111341534214795,0.5294773482316553,-0.9855402199892882,0.9855402199892882,1.1038834147994638,76.0,70.47244094488188
Collin,10.0,29.0,9.4,120100.0,12,-3.208314732949765,-2.1835218597103707,3.858315933090003,-3.858315933090003,-9.250152525750138,254.0,0.39370078740157477
Collingsworth,14.0,39.0,6.3,48900.0,31,-0.10033631125167004,1.4984056367823788,-0.9923529571947444,0.9923529571947444,2.3904222827254533,31.0,88.18897637795276
Colorado,13.0,40.0,8.7,61400.0,26,0.21046153091813943,0.5294773482316553,-0.1407608065127311,0.1407608065127311,0.8806996856625258,92.0,64.1732283464567
Comal,10.0,39.0,9.0,99900.0,15,-0.10033631125167004,-1.6021648865799365,2.4821430175878696,-2.4821430175878696,-4.1846442154194765,241.0,5.511811023622047
Comanche,13.0,39.0,7.5,54700.0,26,-0.10033631125167004,0.5294773482316553,-0.5972141992782902,0.5972141992782902,1.0263552362582755,83.0,67.71653543307087
Concho,15.0,39.0,6.7,54900.0,19,-0.10033631125167004,-0.8270222557393576,-0.583588724867378,0.583588724867378,-0.3437698421236497,155.0,39.37007874015748
Cooke,11.0,37.0,8.8,75000.0,21,-0.721931995591289,-0.43945094031906823,0.7857714534292993,-0.7857714534292993,-1.9471543893396563,213.0,16.535433070866144
