Runnels,"$61,600.00"
Rusk,"$65,800.00"
Sabine,"$58,700.00"
San Augustine,"$50,900.00"
San Jacinto,"$66,000.00"
San Patricio,"$61,400.00"
San Saba,"$52,300.00"
Schleicher,"$60,100.00"
Scurry,"$69,900.00"
Shackelford,"$68,700.00"
Shelby,"$54,400.00"
Sherman,"$66,200.00"
Smith,"$71,300.00"
Somervell,"$78,900.00"
Starr,"$38,800.00"
Stephens,"$59,100.00"
Sterling,"$80,900.00"
Stonewall,"$56,400.00"
Sutton,"$63,900.00"
Swisher,"$52,400.00"
Tarrant,"$80,100.00"
Taylor,"$62,100.00"
Terrell,"$47,900.00"
Terry,"$44,400.00"
Throckmorton,"$51,500.00"
Titus,"$57,600.00"
Tom Green,"$60,400.00"
Travis,"$97,500.00"
Trinity,"$49,300.00"
Tyler,"$54,400.00"
Upshur,"$61,500.00"
Upton,"$59,000.00"
Uvalde,"$49,000.00"
Val Verde,"$56,600.00"
Van Zandt,"$66,400.00"
Victoria,"$69,400.00"
Walker,"$56,900.00"
Waller,"$77,200.00"
Ward,"$65,600.00"
Washington,"$67,900.00"
Webb,"$57,900.00"
Wharton,"$60,500.00"
Wheeler,"$54,700.00"
Wichita,"$61,600.00"
Wilbarger,"$53,400.00"
Willacy,"$42,300.00"
Williamson,"$111,200.00"
Wilson,"$85,300.00"
Winkler,"$67,900.00"
Wise,"$89,900.00"
Wood,"$58,800.00"
Yoakum,"$64,600.00"
Young,"$64,200.00"
Zapata,"$41,700.00"
Zavala,"$36,900.00"
